Status,CreditGrade,Amount,Age,InterestRate
Current,AA,2600,5,0.082
Current,A,3050,3,0.09
Late,HR,2500,7,0.2475
Current,AA,5000,7,0.082
Current,HR,3000,1,0.25
Current,E,1000,6,0.1
Current,D,2000,9,0.1775
Current,C,3000,7,0.1539
Current,HR,1500,7,0.1775
Current,HR,7000,6,0.2875
Late,NC,2500,10,0.3
Current,A,9500,5,0.108
Current,A,4900,1,0.091
Late,HR,1000,2,0.17
Current,B,1000,7,0.0993
Current,AA,6100,1,0.078
Current,A,2500,8,0.0938
Default,HR,1300,8,0.2375
Current,A,18500,1,0.13
Current,E,1000,5,0.15
Current,C,2000,2,0.1399
Default,HR,3000,6,0.29
Default,HR,2550,9,0.3575
Current,C,2600,9,0.132
Current,AA,6500,6,0.105
Current,AA,1000,1,0.0655
Current,HR,1000,4,0.29
Current,HR,1000,5,0.23
Current,HR,1000,8,0.2375
Current,HR,2580,6,0.2875
Current,E,4000,4,0.24
Current,AA,5000,7,0.088
Current,HR,1000,2,0.24
Current,E,1805,4,0.2125
Current,HR,3000,5,0.15
Current,HR,1200,5,0.29
Current,HR,1500,2,0.29
Current,AA,3000,3,0.082
Current,HR,1000,10,0.23
Current,AA,2500,3,0.0795
Current,A,3000,9,0.09
Current,AA,2550,2,0.08
Current,HR,1500,6,0.2875
Current,HR,1000,2,0.26
Current,B,1000,1,0.0774
Current,E,1000,6,0.16
Current,B,5000,4,0.121
Current,B,2000,7,0.0835
Current,HR,1000,2,0.26
Current,AA,3000,1,0.075
Current,AA,3000,3,0.0788
Current,HR,2600,7,0.2475
Current,HR,2599,1,0.29
Current,HR,2000,8,0.2075
Current,HR,2550,8,0.2375
Late,D,4000,5,0.23
Current,E,2550,1,0.23
Current,AA,5000,8,0.125
Current,HR,1000,2,0.195
Current,AA,3000,1,0.075
Late,HR,1500,5,0.25
Current,HR,5800,7,0.2875
Current,A,4700,1,0.0915
Current,NC,1000,2,0.09
Current,HR,1000,1,0.29
Current,AA,1000,13,0.06
Default,HR,1000,7,0.2075
Current,HR,1500,4,0.2125
Late,HR,1000,8,0.2375
Current,HR,2200,5,0.28
Current,HR,1325,7,0.2475
Current,D,1250,5,0.15
Current,E,2500,10,0.21
Default,HR,2000,8,0.2375
Current,AA,2550,5,0.07
Current,AA,1500,1,0.0725
Current,HR,2550,1,0.29
Current,D,3500,7,0.195
Current,C,3000,5,0.145
Current,HR,5950,3,0.29
Current,AA,3001,10,0.08
Current,E,2400,1,0.2
Current,HR,1000,2,0.23
Current,HR,1000,2,0.2
Current,D,1500,5,0.1575
Current,D,3001,9,0.181
Current,A,2550,7,0.09
Current,AA,3000,10,0.077
Default,NC,1000,10,0.1575
Late,NC,3850,6,0.28
Current,AA,1000,3,0.08
Current,NC,1800,10,0.1405
Current,AA,10000,3,0.0825
Current,HR,1000,3,0.29
Current,HR,1000,2,0.2595
Current,D,1200,3,0.15
Late,HR,1525,5,0.2875
Current,AA,3000,9,0.0825
Default,E,3550,8,0.2375
Current,HR,3001,6,0.2875
Late,HR,1000,5,0.29
Current,E,1000,1,0.18
Current,E,2000,2,0.29
Current,HR,2000,3,0.1989
Current,AA,1000,6,0.08
Current,B,2500,7,0.1025
Current,AA,2500,8,0.0749
Current,NC,3600,5,0.115
Current,AA,3100,5,0.09
Current,HR,1300,3,0.1911
Default,HR,3000,10,0.24
Current,HR,2000,8,0.2375
Current,E,1500,7,0.25
Current,AA,2550,2,0.0875
Late,HR,2550,6,0.2875
Current,B,1000,1,0.08
Current,A,3000,2,0.081
Current,AA,2750,1,0.09
Current,C,3000,8,0.1325
Current,D,2000,5,0.19
Current,C,1000,8,0.1395
Current,HR,1750,1,0.25
Current,HR,1200,6,0.0875
Current,B,5000,11,0.09
Current,HR,1000,4,0.2
Current,E,1500,8,0.2
Current,HR,1200,1,0.185
Current,HR,1500,6,0.2875
Current,HR,1000,1,0.24
Current,C,7500,2,0.15
Current,HR,2300,2,0.18
Current,C,1800,8,0.1425
Current,B,2000,8,0.1175
Current,HR,3000,5,0.29
Current,AA,1000,7,0.0655
Current,D,1000,1,0.1665
Current,HR,1000,2,0.24
Current,D,4500,6,0.24
Current,E,1000,1,0.2399
Current,HR,1000,5,0.17
Current,AA,1000,9,0.0715
Late,HR,2800,6,0.25
Current,HR,1500,2,0.23
Current,C,3000,9,0.14
Current,HR,1000,3,0.15
Current,B,5000,3,0.118
Current,AA,10000,8,0.09
Current,HR,1000,7,0.28
Current,AA,2525,1,0.0775
Current,AA,1000,1,0.0625
Current,AA,5800,1,0.0788
Current,E,3500,1,0.29
Current,HR,1000,5,0.29
Current,C,3000,4,0.13
Current,AA,1000,2,0.07
Current,AA,2501,11,0.0575
Current,HR,3500,2,0.17
Default,HR,1300,7,0.2475
Current,HR,1500,1,0.29
Current,HR,1000,5,0.17
Current,D,3000,9,0.2
Current,HR,1100,8,0.2375
Current,HR,1500,5,0.15
Late,HR,1025,10,0.245
Current,C,2100,8,0.185
Current,HR,1200,7,0.2475
Current,D,1200,4,0.135
Current,HR,1000,2,0.05
Current,HR,1000,8,0.2375
Current,HR,2000,6,0.2475
Current,HR,1000,1,0.16
Current,C,5000,2,0.15
Current,AA,5000,1,0.09
Current,HR,1200,4,0.17
Current,C,3000,8,0.1575
Current,B,1000,1,0.09
Current,C,3001,2,0.12
Current,HR,1000,1,0.2
Current,NC,1500,8,0.1575
Current,AA,3000,5,0.08
Current,C,2000,8,0.2
Current,AA,2500,6,0.08
Current,HR,1000,3,0.29
Current,HR,1800,1,0.214
Current,HR,2550,1,0.29
Current,HR,1000,3,0.11
Current,HR,1525,1,0.2195
Current,AA,5000,5,0.075
Current,D,3500,11,0.12
Current,HR,1000,11,0.15
Current,HR,1200,2,0.29
Current,HR,1000,10,0.01
Current,AA,5000,5,0.0815
Current,HR,1300,2,0.11
Current,AA,3000,8,0.08
Current,AA,5000,5,0.0884
Current,AA,4000,9,0.083
Default,HR,1800,8,0.2875
Current,D,1500,6,0.17
Default,HR,3000,10,0.4975
Current,HR,2000,1,0.29
Current,HR,1000,2,0.2
Current,HR,2000,3,0.29
Current,HR,2550,1,0.24
Late,NC,1000,5,0.23
Current,D,2500,2,0.2
Current,AA,3000,5,0.0912
Current,AA,6001,10,0.07
Current,HR,1400,7,0.2475
Current,NC,1000,2,0.17
Current,HR,2000,4,0.25
Current,AA,1000,7,0.072
Current,HR,2000,7,0.2475
Current,HR,1000,1,0.0925
Current,HR,2000,7,0.2
Current,AA,3001,7,0.08
Current,NC,1250,6,0.25
Current,HR,1000,5,0.21
Current,HR,2600,1,0.0875
Current,A,2550,6,0.09
Current,E,1000,2,0.0925
Current,AA,1000,1,0.07
Current,A,2500,6,0.09
Current,AA,2550,5,0.0875
Current,AA,2000,1,0.08
Current,HR,1000,6,0.2875
Current,E,1000,4,0.25
Current,HR,1000,9,0.2375
Current,NC,1000,8,0.2075
Current,A,25000,8,0.15
Current,HR,1500,1,0.29
Current,D,1500,2,0.15
Current,HR,1000,1,0.27
Current,AA,3000,1,0.0735
Current,HR,3000,11,0.3
Late,C,7500,6,0.155
Current,AA,2000,2,0.0795
Current,HR,1000,4,0.29
Current,A,6001,11,0.07
Current,AA,3000,4,0.08
Current,HR,2550,1,0.2525
Current,HR,1000,8,0.2375
Current,HR,3000,7,0.1175
Current,E,3000,5,0.29
Late,HR,3500,9,0.3475
Current,HR,2550,1,0.274
Current,NC,1100,4,0.248
Current,HR,2000,2,0.26
Current,D,1600,8,0.21
Current,D,3000,6,0.21
Current,HR,1000,1,0.15
Current,C,2000,5,0.153
Current,HR,2000,1,0.29
Current,HR,2500,7,0.2375
Current,HR,2000,3,0.2
Current,HR,1500,1,0.18
Default,HR,1250,9,0.1175
Current,HR,2000,1,0.22
Current,E,5000,1,0.2
Current,AA,2000,1,0.0775
Current,D,1675,8,0.145
Default,HR,1200,8,0.2475
Current,HR,2500,1,0.29
Current,HR,1700,3,0.2615
Current,NC,1000,7,0.2
Current,HR,1500,10,0.1775
Current,HR,2550,1,0.285
Current,HR,2550,5,0.2
Current,HR,1000,7,0.237
Late,HR,5000,4,0.3
Current,HR,3000,4,0.29
Late,HR,2025,4,0.29
Late,HR,1000,10,0.1775
Current,HR,1000,8,0.2075
Current,A,3000,1,0.09
Current,HR,1000,2,0.15
Current,A,2500,2,0.0845
Late,HR,1000,6,0.2375
Current,AA,2000,5,0.0875
Current,D,1100,5,0.162
Current,C,4500,3,0.11
Current,C,4900,2,0.16
Current,C,3000,4,0.134
Current,C,3000,6,0.1775
Current,C,8000,5,0.229
Current,C,7000,5,0.17
Current,C,2000,7,0.15
Current,C,1000,6,0.1049
Current,C,4000,8,0.1375
Current,C,2500,6,0.133
Current,D,2550,6,0.22
Current,D,3500,3,0.18
Current,D,1500,7,0.2
Current,D,3000,5,0.175
Current,D,3200,4,0.167
Current,D,3100,9,0.19
Current,D,4800,3,0.1775
Current,D,2000,2,0.17
Current,D,3600,5,0.185
Current,D,1500,5,0.15
Current,D,1800,2,0.15
Current,D,1500,3,0.144
Current,D,2000,3,0.15
Current,D,1100,4,0.11
Current,D,3500,1,0.196
Current,D,2550,1,0.22
Current,D,2500,1,0.2
Current,D,2550,1,0.22
Current,E,1000,4,0.23
Current,E,1000,1,0.185
Current,E,4000,9,0.245
Current,E,5000,10,0.1575
Current,E,1500,1,0.2
Current,E,2500,1,0.15
Current,E,4000,2,0.27
Current,E,3000,3,0.29
Current,E,2550,1,0.2835
Current,E,2000,3,0.29
Current,E,1600,3,0.25
Current,E,2800,6,0.28
Current,E,1000,5,0.15
Current,E,2800,3,0.26
Current,E,2550,4,0.29
Current,E,1575,4,0.2375
Current,E,6000,2,0.277
Current,E,3000,5,0.29
Current,E,2550,5,0.29
Current,E,2999,7,0.2875
Current,E,2000,7,0.2075
Current,E,5000,8,0.2375
Current,E,2500,7,0.2375
Current,E,2550,11,0.12
Current,HR,1000,8,0.2375
Current,HR,2000,1,0.29
Current,HR,1200,2,0.25
Current,HR,3300,2,0.29
Current,HR,5000,8,0.15
Current,HR,1000,5,0.29
Current,HR,1500,3,0.25
Current,HR,2550,6,0.28
Current,HR,2000,7,0.2875
Current,HR,2500,3,0.29
Current,HR,3500,6,0.1989
Current,HR,3000,3,0.25
Current,HR,2500,3,0.24
Current,HR,2000,3,0.29
Current,HR,1550,1,0.29
Current,HR,2550,0,0.2
Current,HR,2000,1,0.25
Current,HR,3001,5,0.2875
Current,HR,1150,6,0.28
Current,HR,3000,6,0.2875
Current,HR,1000,4,0.29
Current,HR,4000,2,0.29
Current,HR,2500,5,0.29
Current,HR,2550,3,0.29
Current,HR,2000,4,0.29
Current,HR,2500,3,0.29
Current,HR,1000,4,0.17
Current,HR,1000,1,0.2598
Current,HR,1000,1,0.17
Current,HR,3000,3,0.1999
Current,HR,2900,1,0.24
Current,HR,1782,1,0.24
Current,HR,4500,2,0.15
Current,HR,1500,2,0.15
Current,HR,3500,3,0.2
Current,HR,3000,3,0.29
Current,HR,2500,1,0.29
Current,HR,2750,4,0.29
Current,HR,2550,1,0.29
Current,HR,3000,2,0.2899
Current,HR,2250,4,0.2825
Current,HR,2000,1,0.29
Current,HR,2501,2,0.25
Current,HR,3001,5,0.29
Current,HR,1000,6,0.22
Current,HR,2550,1,0.29
Current,HR,1500,1,0.2349
Current,HR,1000,1,0.07
Current,HR,1000,2,0.22
Current,HR,2550,1,0.289
Current,HR,2550,1,0.21
Current,HR,6001,1,0.23
Current,HR,1500,2,0.24
Current,HR,2850,2,0.29
Current,HR,3000,1,0.28
Current,HR,4000,2,0.29
Current,HR,2800,1,0.17
Current,HR,1500,1,0.29
Current,HR,1000,1,0.1995
Current,HR,1905,1,0.29
Current,HR,1000,1,0.2
Current,HR,2550,4,0.3
Current,NC,2550,1,0.29
Current,NC,1500,1,0.26
Current,NC,3000,1,0.3
Current,NC,1500,2,0.1585
Current,NC,2500,3,0.28
Current,NC,3000,4,0.1784
Current,NC,2550,1,0.22
Current,NC,2750,7,0.2025
Current,NC,3500,2,0.29
Current,NC,2000,1,0.22
Late,HR,1200,3,0.29
Late,HR,2600,3,0.0021
Late,HR,1000,3,0.29
Late,HR,2000,5,0.17
Late,HR,1000,4,0.17
Late,NC,2052,4,0.28
Late,B,7500,6,0.18
Late,HR,2500,7,0.2875
Late,HR,1000,5,0.29
Late,HR,3000,7,0.25
Late,NC,1000,6,0.24
Late,E,3000,5,0.289
Late,E,3000,2,0.29
Late,HR,1000,2,0.235
Late,HR,1600,8,0.205
Late,HR,2100,3,0.29
Late,HR,5000,3,0.15
Late,HR,2550,6,0.2875
Current,AA,5100,9,0.081
Current,D,3000,10,0.1525
Current,E,3000,8,0.2375
Current,HR,1100,8,0.2375
Default,E,2800,11,0.1575
Default,HR,2551,10,0.29
Current,A,18600,9,0.15
Current,HR,1000,9,0.357
Current,C,3001,9,0.16
Current,A,5000,11,0.08
Current,AA,3000,10,0.072
Current,NC,2550,10,0.23
Current,AA,3000,10,0.0725
Current,AA,4500,12,0.08
Current,AA,5000,10,0.0725
Current,C,5500,8,0.14
Current,E,2500,10,0.2025
Current,AA,3500,13,0.07
Current,AA,4800,8,0.09
Current,HR,1000,10,0.19
Late,E,3500,9,0.2375
Current,C,3000,9,0.1345
Current,C,1200,10,0.11
Current,E,1000,9,0.2375
Current,A,4000,8,0.0985
Current,B,3500,9,0.14
Current,C,6000,9,0.18
Current,AA,5000,10,0.0795
Current,C,2500,8,0.15
Current,A,3000,1,0.081
Current,A,10000,10,0.105
Current,A,20000,9,0.15
Current,A,4500,5,0.0925
Current,A,5000,8,0.115
Current,A,6875,2,0.1105
Current,A,2500,5,0.0945
Current,A,3000,2,0.086
Current,A,1500,1,0.08
Current,A,1000,1,0.085
Current,AA,3000,5,0.08
Current,AA,1000,1,0.07
Current,AA,1000,2,0.07
Current,AA,3000,3,0.0889
Current,AA,2500,2,0.0799
Current,AA,6001,2,0.081
Current,AA,10000,1,0.0825
Current,AA,10000,3,0.08
Current,AA,5000,6,0.0875
Current,AA,2500,2,0.079
Current,AA,1000,4,0.0795
Current,AA,1500,7,0.08
Current,AA,10102,4,0.0963
Current,AA,2000,7,0.08
Current,AA,2500,5,0.085
Current,AA,5000,10,0.0725
Current,B,9000,7,0.105
Current,B,3500,3,0.109
Current,B,2000,5,0.1098
Current,B,5000,6,0.15
Current,B,3000,4,0.103
Current,C,5000,2,0.18
Current,C,7500,1,0.15
Current,C,5000,4,0.125
Current,C,2700,8,0.1775
Current,C,5000,5,0.17
Current,C,6000,7,0.1575
Current,C,1000,6,0.157
Current,C,5000,7,0.1575
Current,C,7000,2,0.159
Current,C,2500,6,0.0925
Current,C,3600,7,0.1385
Current,C,6001,4,0.162
Current,C,4500,5,0.12
Current,C,4000,5,0.1325
Current,C,6500,3,0.199
Current,C,5000,3,0.1695
Current,D,3000,7,0.2095
Current,D,1500,7,0.18
Current,D,5000,5,0.22
Current,D,5000,4,0.246
Current,D,3500,3,0.23
Current,D,4750,8,0.1975
Current,D,1000,6,0.1575
Current,D,3000,5,0.192
Current,D,2000,3,0.18
Current,D,2500,1,0.15
Current,D,5200,5,0.206
Current,D,1000,6,0.1625
Current,D,1000,1,0.2
Current,D,1800,2,0.2
Current,D,2750,5,0.145
Current,D,1500,1,0.1395
Current,D,2550,4,0.195
Current,D,1000,5,0.2
Current,E,1500,4,0.1975
Current,E,1000,1,0.17
Current,E,4600,1,0.227
Current,E,3500,1,0.25
Current,E,4600,3,0.235
Current,E,3000,2,0.25
Current,E,1000,1,0.29
Current,E,3500,7,0.22
Current,E,4500,3,0.17
Current,E,2800,3,0.195
Current,E,2500,5,0.182
Current,E,2550,4,0.29
Current,E,3000,3,0.2475
Current,E,1500,5,0.17
Current,E,7000,6,0.18
Current,E,2750,7,0.2375
Current,E,4000,1,0.2877
Current,E,3500,5,0.2279
Current,E,4500,5,0.2385
Current,HR,1000,3,0.17
Current,HR,1000,7,0.1775
Current,HR,5000,4,0.29
Current,HR,2550,5,0.29
Current,HR,4000,4,0.29
Current,HR,2500,2,0.29
Current,HR,2500,6,0.26
Current,HR,1000,6,0.1775
Current,HR,2500,7,0.24
Current,HR,1000,7,0.1385
Current,HR,1250,4,0.15
Current,HR,3001,5,0.29
Current,HR,2600,4,0.25
Current,HR,1000,5,0.15
Current,HR,4000,7,0.2675
Current,HR,3001,8,0.2375
Current,HR,2800,5,0.29
Current,HR,1350,5,0.22
Current,HR,2000,4,0.29
Current,HR,1250,3,0.29
Current,HR,1500,2,0.29
Current,HR,6800,3,0.29
Current,HR,1250,3,0.29
Current,HR,2200,3,0.15
Current,HR,2000,3,0.27
Current,HR,2500,3,0.3
Current,HR,4000,2,0.2
Current,HR,1000,1,0.24
Current,HR,1000,1,0.2
Current,HR,2500,7,0.2875
Current,HR,3000,2,0.29
Current,HR,3500,2,0.17
Current,HR,2800,5,0.29
Current,HR,3000,3,0.29
Current,HR,3001,4,0.29
Current,HR,3000,7,0.2875
Current,HR,1000,5,0.24
Current,HR,5000,2,0.2
Current,HR,2000,3,0.1988
Current,HR,3001,5,0.2725
Current,HR,3000,1,0.254
Current,HR,3050,5,0.2875
Current,HR,3000,1,0.19
Current,HR,1000,1,0.09
Current,HR,1000,1,0.24
Current,HR,3050,2,0.29
Current,HR,4000,1,0.2
Current,NC,2700,8,0.1575
Current,NC,3100,4,0.25
Current,NC,2550,3,0.25
Current,NC,3001,7,0.27
Late,HR,3000,5,0.25
Late,HR,4000,6,0.2875
Late,HR,1500,3,0.3
Late,HR,3001,3,0.29
Late,HR,1200,4,0.29
Late,E,4700,7,0.25
Late,E,2550,7,0.259
Late,HR,3001,8,0.2375
Late,HR,3000,5,0.29
Late,E,3500,5,0.29
Late,HR,2000,2,0.05
Current,AA,3000,9,0.08
Current,AA,1500,10,0.065
Current,C,6000,9,0.15
Current,E,1000,9,0.2375
Current,HR,1200,9,0.22
Current,A,1000,10,0.0695
Late,E,4850,10,0.255
Current,A,1000,10,0.0612
Current,C,1250,10,0.102
Current,AA,1000,8,0.075
Current,E,2600,8,0.08
Late,C,5000,8,0.155
Current,C,1000,8,0.115
Current,E,1400,10,0.177
Current,E,1000,8,0.2375
Current,E,1600,8,0.2375
Current,HR,3000,9,0.3575
Current,D,15000,9,0.25
Current,HR,3025,8,0.24
Default,NC,4500,10,0.18
Late,HR,3050,11,0.33
Late,HR,3001,10,0.3575
Default,D,3100,9,0.225
Current,A,5000,9,0.1
Current,AA,3540,9,0.0875
Current,B,7000,10,0.12
Current,C,5000,9,0.153
Current,HR,3000,10,0.3
Current,E,6001,9,0.2275
Current,A,1000,2,0.075
Current,A,3000,6,0.0845
Current,A,3000,4,0.095
Current,A,1600,7,0.0875
Current,A,1500,1,0.0803
Current,A,1000,4,0.083
Current,A,5000,1,0.09
Current,A,2000,1,0.0725
Current,AA,5000,5,0.087
Current,AA,6000,2,0.0965
Current,AA,4271,3,0.1
Current,AA,25000,1,0.1075
Current,AA,5000,1,0.0785
Current,AA,2500,2,0.08
Current,AA,2550,4,0.0812
Current,AA,2500,2,0.082
Current,AA,2000,2,0.075
Current,AA,2550,6,0.0883
Current,AA,15000,5,0.095
Current,AA,4997,2,0.082
Current,AA,3000,4,0.0895
Current,AA,3000,4,0.0885
Current,AA,2750,5,0.085
Current,AA,3500,1,0.08
Current,AA,3000,1,0.0775
Current,AA,7500,7,0.0972
Current,AA,1000,1,0.062
Current,B,10000,7,0.1489
Current,B,4000,1,0.095
Current,B,3500,3,0.137
Current,B,10000,8,0.142
Current,B,10000,6,0.145
Current,B,3000,1,0.18
Current,C,5000,1,0.135
Current,C,1000,6,0.155
Current,C,1000,7,0.1575
Current,C,10000,3,0.15
Current,C,15000,4,0.165
Current,C,7000,5,0.1577
Current,C,6001,2,0.2
Current,C,3500,8,0.1339
Current,C,10000,5,0.17
Current,C,2000,7,0.1
Current,C,1200,7,0.1525
Current,C,3600,3,0.14
Current,C,3000,6,0.17
Current,C,5000,5,0.1495
Current,C,10000,8,0.1565
Current,D,3000,10,0.17
Current,D,5000,3,0.222
Current,D,3000,8,0.215
Current,D,3000,6,0.24
Current,D,1500,4,0.2125
Current,D,1000,3,0.2
Current,D,3000,6,0.2075
Current,D,5000,1,0.19
Current,D,1000,3,0.13
Current,D,5000,7,0.25
Current,D,3700,4,0.1775
Current,D,5000,3,0.22
Current,D,5000,3,0.18
Current,D,2000,5,0.22
Current,D,3250,3,0.21
Current,D,3800,6,0.1775
Current,D,1750,5,0.1685
Current,D,1138,7,0.21
Current,D,7000,1,0.21
Current,E,3500,1,0.22
Current,E,1000,3,0.2881
Current,E,10300,5,0.285
Current,E,1500,2,0.24
Current,E,2550,7,0.2875
Current,E,3000,8,0.2375
Current,E,1500,2,0.1525
Current,E,2550,9,0.2375
Current,E,2500,2,0.2245
Current,E,2000,2,0.24
Current,E,3999,5,0.2825
Current,E,4000,5,0.2875
Current,E,1500,4,0.269
Current,E,2275,6,0.2
Current,E,2000,6,0.24
Current,E,12000,5,0.22
Current,E,3775,5,0.1954
Current,E,2550,1,0.29
Current,E,1430,7,0.2129
Current,E,3000,3,0.245
Current,E,3800,1,0.251
Current,E,1000,4,0.24
Current,E,3000,5,0.26
Current,E,5000,5,0.28
Current,E,3100,3,0.27
Current,E,1100,5,0.24
Current,E,3000,5,0.264
Current,E,3000,3,0.1995
Current,E,1000,2,0.15
Current,E,1000,3,0.2055
